NO.1 F.G. DIFF PRESS LOW;DPALBI339;flaga.pv
NO.1 M/B ATM STM PRESS HIGH;PAHBI340;flaga.pv
NO.1 M/B ATM STM PRESS LOW;PALBI341;flaga.pv
MASTER GAS TRIP;XABI359;flaga.pv
MASTER N2 PURGE V OPEN;ZLHLBI115;flaga.pv
NO.1 M/B F.G. TRIP;XABI345;flaga.pv
NO.1 M/B FUEL MODE DUAL;XLBI346;flaga.pv
NO.1 M/B F.O. TRIP;XABI350;flaga.pv
NO.1 M/B F.O. PRESS DEV HIGH;XABI356;flaga.pv
NO.1 M/B STM FLOW DEV HIGH;XABI357;flaga.pv
NO.1 M/B M/GAS VENT V/V TROUBLE;XABI289_01;flaga.pv
NO.1 M/B F.G. SHUT-OFF V/V TROUBLE;XABI282_01;flaga.pv
NO.1 M/B HDR N2 PURGE V/V TROUBLE;XABI292_01;flaga.pv
NO.1 M/B GAS HDR VENT V/V TROUBLE;XABI291_01;flaga.pv
NO.1 M/B B/BNR NO.1 GAS V/V TROUBLE;XABI309_01;flaga.pv
NO.1 M/B B/BNR NO.2 GAS V/V TROUBLE;XABI310_01;flaga.pv
NO.1 M/B 2/BNR NO.1 GAS V/V TROUBLE;XABI311_01;flaga.pv
NO.1 M/B 2/BNR NO.2 GAS V/V TROUBLE;XABI312_01;flaga.pv
NO.1 M/B 3/BNR NO.1 GAS V/V TROUBLE;XABI313_01;flaga.pv
NO.1 M/B 3/BNR NO.2 GAS V/V TROUBLE;XABI314_01;flaga.pv
NO.1 M/B B/BNR N2 PURGE V/V TROUBLE;XABI321_01;flaga.pv
NO.1 M/B 2/BNR N2 PURGE V/V TROUBLE;XABI322_01;flaga.pv
NO.1 M/B 3/BNR N2 PURGE V/V TROUBLE;XABI323_01;flaga.pv
NO.1 M/B B/BNR AIR REG TROUBLE;XABI315_01;flaga.pv
NO.1 M/B 2/BNR AIR REG TROUBLE;XABI316_01;flaga.pv
NO.1 M/B 3/BNR AIR REG TROUBLE;XABI317_01;flaga.pv
NO.1 M/B B/BNR NO.2 F.O. V/V OPEN;ZLHLBI294;flaga.pv
NO.1 M/B 2/BNR NO.1 F.O. V/V OPEN;ZLHLBI295;flaga.pv
NO.1 M/B 2/BNR NO.2 F.O. V/V OPEN;ZLHLBI296;flaga.pv
NO.1 M/B 3/BNR NO.1 F.O. V/V OPEN;ZLHLBI297;flaga.pv
NO.1 M/B 3/BNR NO.2 F.O. V/V OPEN;ZLHLBI298;flaga.pv
NO.1 M/B F.O. RECIRC. V/V OPEN;ZLHLBI299;flaga.pv
NO.1 M/B B/BNR ATM V/V OPEN;ZLHLBI300;flaga.pv
NO.1 M/B 2/BNR ATM V/V OPEN;ZLHLBI301;flaga.pv
NO.1 M/B 3/BNR ATM V/V OPEN;ZLHLBI302;flaga.pv
NO.1 M/B B/BNR NO.1 PURGE V/V OPEN;ZLHLBI303;flaga.pv
NO.1 M/B B/BNR NO.2 PURGE V/V OPEN;ZLHLBI304;flaga.pv
NO.1 M/B 2/BNR NO.1 PURGE V/V OPEN;ZLHLBI305;flaga.pv
NO.1 M/B 2/BNR NO.2 PURGE V/V OPEN;ZLHLBI306;flaga.pv
NO.1 M/B 3/BNR NO.1 PURGE V/V OPEN;ZLHLBI307;flaga.pv
NO.1 M/B 3/BNR NO.2 PURGE V/V OPEN;ZLHLBI308;flaga.pv
NO.1 M/B B/BNR NO.1 GAS V/V OPEN;ZLHLBI309;flaga.pv
NO.1 M/B B/BNR NO.2 GAS V/V OPEN;ZLHLBI310;flaga.pv
NO.1 M/B 2/BNR NO.1 GAS V/V OPEN;ZLHLBI311;flaga.pv
NO.1 M/B 2/BNR NO.2 GAS V/V OPEN;ZLHLBI312;flaga.pv
NO.1 M/B 3/BNR NO.1 GAS V/V OPEN;ZLHLBI313;flaga.pv
NO.1 M/B 3/BNR NO.2 GAS V/V OPEN;ZLHLBI314;flaga.pv
NO.1 M/B B/BNR AIR REG OPEN;XLBI315;flaga.pv
NO.1 M/B 2/BNR AIR REG OPEN;XLBI316;flaga.pv
NO.1 M/B 3/BNR AIR REG OPEN;XLBI317;flaga.pv
NO.1 M/B B/BNR IGN INSERT;XLBI318;flaga.pv
NO.1 M/B 2/BNR PORT IGN INSERT;XLBI319;flaga.pv
NO.1 M/B 3/BNR PORT IGN INSERT;XLBI320;flaga.pv
NO.1 M/B B/BNR N2 PURGE V/V OPEN;ZLHLBI321;flaga.pv
NO.1 M/B 2/BNR N2 PURGE V/V OPEN;ZLHLBI322;flaga.pv
NO.1 M/B 3/BNR N2 PURGE V/V OPEN;ZLHLBI323;flaga.pv
NO.1 M/B B/BNR NO.1 F/E ON;XLBI324;flaga.pv
NO.1 M/B B/BNR NO.2 F/E ON;XLBI325;flaga.pv
NO.1 M/B 2/BNR NO.1 F/E ON;XLBI326;flaga.pv
NO.1 M/B 2/BNR NO.2 F/E ON;XLBI327;flaga.pv
NO.1 M/B 3/BNR NO.1 F/E ON;XLBI328;flaga.pv
NO.1 M/B 3/BNR NO.2 F/E ON;XLBI329;flaga.pv
NO.1 MAIN STM PRESS HIGH;PAHBI332;flaga.pv
NO.1 MAIN STM PRESS LOW;PALBI333;flaga.pv
NO.1 F.O. HDR PRESS HIGH;PAHBI335;flaga.pv
NO.1 F.O. HDR PRESS LOW;PALBI336;flaga.pv
NO.1 M/B B/BNR IGN TROUBLE;XABI318_01;flaga.pv
NO.1 M/B 2/BNR PORTABLE IGNITOR TROUBLE;XABI319_01;flaga.pv
NO.1 M/B 3/BNR PORTABLE IGNITOR TROUBLE;XABI320_01;flaga.pv
NO.1 M/B B/BNR NO.1 F.O V/V TROUBLE;XABI293_01;flaga.pv
NO.1 M/B B/BNR NO.2 F.O V/V TROUBLE;XABI294_01;flaga.pv
NO.1 M/B 2/BNR NO.1 F.O V/V TROUBLE;XABI295_01;flaga.pv
NO.1 M/B 2/BNR NO.2 F.O V/V TROUBLE;XABI296_01;flaga.pv
NO.1 M/B 3/BNR NO.1 F.O V/V TROUBLE;XABI297_01;flaga.pv
NO.1 M/B 3/BNR NO.2 F.O V/V TROUBLE;XABI298_01;flaga.pv
NO.1 M/B B/BNR ATM V/V TROUBLE;XABI300_01;flaga.pv
NO.1 M/B 2/BNR ATM V/V TROUBLE;XABI301_01;flaga.pv
NO.1 M/B 3/BNR ATM V/V TROUBLE;XABI302_01;flaga.pv
NO.1 M/B B/BNR NO.1 PURGE V/V TROUBLE;XABI303_01;flaga.pv
NO.1 M/B B/BNR NO.2 PURGE V/V TROUBLE;XABI304_01;flaga.pv
NO.1 M/B 2/BNR NO.1 PURGE V/V TROUBLE;XABI305_01;flaga.pv
NO.1 M/B 2/BNR NO.2 PURGE V/V TROUBLE;XABI306_01;flaga.pv
NO.1 M/B 3/BNR NO.1 PURGE V/V TROUBLE;XABI307_01;flaga.pv
NO.1 M/B 3/BNR NO.2 PURGE V/V TROUBLE;XABI308_01;flaga.pv
NO.1 M/B F.O. REC. V/V TROUBLE;XABI299_01;flaga.pv
NO.1 M/B F.O. SHUT-OFF V/V TROUBLE;XABI283_01;flaga.pv
NO.1 M/B HOT START V/V TROUBLE;XABI271_01;flaga.pv
STEAM DUMP CONT. MODE AUTO/MAN;XLBI111;flaga.pv
MASTER N2 PURGE START;XLBI113;flaga.pv
MASTER GAS V OPEN;ZLHLBI114;flaga.pv
NO.1 M/B F/E BYPASS MODE;XLBI361;flaga.pv
NO.2 M/B NO.2 BMS CPU RUN;XLBI454;flaga.pv
NO.2 M/B STM TEMP CONT. AUTO/MAN;XLBI459;flaga.pv
NO.2 M/B DRUM LVL VAR/FIX;XLBI460;flaga.pv
NO.2 M/B F.O. FLOW CONT. AUTO/MAN;XLBI461;flaga.pv
NO.2 M/B AIR FLOW CONT. AUTO/MAN;XLBI462;flaga.pv
NO.2 M/B F.G. FLOW CONT. AUTO/MAN;XLBI463;flaga.pv
NO.2 M/B ATM PRS CONT. AUTO/MAN;XLBI464;flaga.pv
NO.2 M/B BNR CNT POS BGB/ECR;XLBI465;flaga.pv
NO.2 M/B STEAMING UP;XLBI467;flaga.pv
NO.2 M/B AUTO RUN;XLBI468;flaga.pv
