6321;32765;1.#QNAN0
1001;32759;1*NOR
3368;32763;79.302727
194;1;1*OPEN
3011;32761;1*ON
5972;1;14.669859
5096;32732;3450.000000
6310;32765;50.969322
480;1;0*OFF
5608;1;1*WARNING
2178;32765;443.816025
3180;32763;0.254826
5924;1;49.383617
147;1;0*OFF
712;1;33.500000
3051;32763;-0.008729
3146;32763;67.430717
2414;32760;0*LOCAL
1844;32748;0*ABNOR
3847;32759;1*NORMAL
2553;32760;0*OFF
6569;1;-1.632653
476;1;1*CLOSE
1283;32759;1*NORMAL
1618;32748;1*NORMAL
6025;1;75.309998
990;32759;1*NORMAL
707;1;7.525000
3415;32763;170.336646
1760;32765;0.000000
261;1;0*OFF
5951;1;0.000000
6261;32753;156.211670
3271;32761;1*NORMAL
1348;32762;0.000000
2654;32760;1.#QNAN0
2934;32759;1*REMOTE
6522;1;0*OFF
1363;32759;0*OFF
227;1;0*NORMAL
5862;1;0.001197
544;1;1*ON
2719;32763;0.148483
278;1;0*OFF
3833;32761;1*NORMAL
1632;32765;1*NORMAL
2657;32739;1*RUN
1771;32760;0.000000
1882;32760;1*REMOTE
125;1;0*ECC
2168;32763;21.915543
3905;32760;1*STBY
2961;32765;0.764631
3025;32760;1*NORMAL
2691;32763;1.479111
3480;32763;0.649472
508;1;0*OFF
2389;32759;1*PROP
1306;32764;-153.097500
1865;32748;1*NORMAL
3783;32759;1*NORMAL
110;1;0*NORMAL
626;1;-85.590000
2170;32765;148.807434
3241;32761;1*NORMAL
1362;32761;0*CLOSE
223;1;0*NORMAL
2667;32748;1*NORMAL
2234;32759;1*NORMAL
722;1;11.227500
3114;32759;1*NORMAL
5676;1;0*NORMAL
1408;32748;0*NOR
3800;32759;1*NORMAL
5094;32763;3448.019457
987;32759;1*NORMAL
313;1;0*OFF
5299;32748;0*ABNORMAL
1967;32765;-1.021653
3126;32763;26.492599
3154;32763;28.019287
5633;1;0*NORMAL
5055;32763;10.192734
3041;32765;9.496560
2440;32759;1*OPEN
5080;32732;7.545456
6591;1;6.600000
5268;32748;1*NORMAL
6029;1;32.349998
2671;32748;1*NORMAL
6061;1;0.520000
3138;32763;73.774627
495;1;0*OFF
2720;32763;-1.900909
159;1;0*NON
647;1;-159.950000
