"NO.2 C. TK SEC. SP. WATER HH;LAHHWD004;pv	"
"NO.3 C. TK SEC. SP. WATER HH;LAHHWD006;pv	"
"NO.4 C. TK SEC. SP. WATER HH;LAHHWD008;pv	"
"NO.1 C. TK SEC. SP. WATER H;LAHWD001;pv	"
"NO.2 C. TK SEC. SP. WATER H;LAHWD003;pv	"
"NO.3 C. TK SEC. SP. WATER H;LAHWD005;pv	"
"NO.4 C. TK SEC. SP. WATER H;LAHWD007;pv	"
"TPS-2 BY 1 C TK LEVEL VH;LAVHCT030_08;pv	"
"NO.2 C. TK. LVL VH;LAVHCT031_08;pv	"
"NO.3 C. TK. LVL VH;LAVHCT032_08;pv	"
"NO.4 C. TK. LVL VH;LAVHCT033_08;pv	"
"NO.1 GLY. W. P/P TRIP BY OUTL. PRESS. L;PALGW005;pv	"
"NO.2 GLY. W. P/P TRIP BY OUTL. PRESS. L;PALGW016;pv	"
"NO.1 H/D COMP. SEAL PRESS. LL (TC);PALLHD019_05;pv	"
"NO.1 H/D COMP. OIL PRESS. LL (TC);PALLHD019_06;pv	"
"NO.1 H/D COMP. BHD SEAL PRESS. LL (TC);PALLHD019_10;pv	"
"NO.2 H/D COMP. SEAL PRESS. LL (TC);PALLHD040_05;pv	"
"NO.2 H/D COMP. OIL PRESS. LL (TC);PALLHD040_06;pv	"
"NO.2 H/D COMP. BHD SEAL PRESS. LL (TC);PALLHD040_10;pv	"
"*VAP HDR PRESS HI;PCAHGH019;pv	"
"NO.1 BO/WU HTR OUTL. TEMP. HH (TC);TAHHBW005_04;pv	"
"NO.2 BO/WU HTR OUTL. TEMP. HH (TC);TAHHBW013_04;pv	"
"NO.1 H/D COMP. DISCH. TEMP. HH (TC);TAHHHD019_07;pv	"
"NO.1 H/D COMP. SHAFT BEARING TEMP. HH (TC);TAHHHD019_08;pv	"
"NO.1 H/D COMP. BHD SEAL TEMP. HH (TC);TAHHHD019_09;pv	"
"NO.2 H/D COMP. DISCH. TEMP. HH (TC);TAHHHD040_07;pv	"
